Voie_ID,Nom_x,Distance (km),% Couverture correspondant (200m),Groupes nature voie,Énergie produite annuelle (kWh / m2 de panneau),Production pour 860m2 de panneau (kWh),SolarScore,latlon,Département,Région,temp_mean_c,sunshine_duration_mean_hour,ghi_mean_W_m2,Revenus annuels revente Enedis €,nbre annuel de charges velos,Eclairage urbain en Nbre lapamdaires alimentés/an,Equivalent conso annuelle en nbr de personnes,nbre annuel charges un BlueBus,nbre annuel km/BlueBus _12m
89,Voie Verte du Beaujolais,14.0,1.43,Bord de voie ferrée,83.23,71578,C,"(46.110589, 4.59655)",Rhône,Auvergne-Rhône-Alpes,12.0,8.0,150.0,9305,143156,358,32,263,59210
90,"EV5 - Via Romea Francigena / Voie Verte de la Lys, de Aire-sur-la-Lys à St-Venant",14.2,1.41,Bord de rivière ou canal,62.68,53905,E,"(50.62540635353338, 2.4060796933008057)",Pas-de-Calais,Hauts-de-France,12.0,7.0,125.0,7008,107810,270,24,198,44591
91,"EV3 - Scandibérique / Voie Verte Galope Chopine, de Reignac à Chevanceaux",14.4,1.39,Bord de voie ferrée,79.81,68637,D,"(45.31106400000001, -0.254041924801428)",Charente-Maritime,Nouvelle-Aquitaine,13.0,8.0,148.0,8923,137274,343,31,252,56777
92,"V43 - La Loire à vélo / VéloFrancette, de Bouchemaine à la Daguenière",14.8,1.35,Bord de route,68.79,59159,E,"(47.417530999999975, -0.61036)",Maine-et-Loire,Pays de la Loire,13.0,7.0,135.0,7691,118318,296,27,217,48937
93,V31 / IC42 - Véloroute du Val d'Argent,14.8,1.35,Bord de route,75.25,64715,D,"(48.254141, 7.204837)",Haut-Rhin,Grand Est,11.0,8.0,138.0,8413,129430,324,29,238,53533
94,Piste des plages Bayonne-Anglet (EV1 Vélodyssée),15.1,1.32,Bord de route,86.53,74416,C,"(43.473032999999994, -1.566724)",Pyrénées-Atlantiques,Nouvelle-Aquitaine,15.0,8.0,158.0,9674,148832,372,33,274,61557
95,"V30 - Voie Verte du canal de la Somme, de St-Valéry/Somme à Abbeville",15.2,1.32,Bord de rivière ou canal,69.08,59409,E,"(50.103460999999996, 1.650867)",Somme,Hauts-de-France,12.0,7.0,132.0,7723,118818,297,27,218,49143
96,Voie Verte de Lembach à Durrenbach,15.4,1.3,Bord de voie ferrée,73.41,63133,D,"(48.90004799999999, 7.742193999999999)",Bas-Rhin,Grand Est,12.0,7.0,136.0,8207,126266,316,28,232,52224
97,"EV5 - Via Romea Francigena / Voie Verte du Canal de la Sarre, de Mittersheim à Gondrexange",15.5,1.29,Bord de rivière ou canal,71.86,61800,D,"(48.69911099999999, 6.909569)",Moselle,Grand Est,11.0,7.0,136.0,8034,123600,309,28,227,51121
98,Voie Verte de la vallée de l'Amezule,15.7,1.27,Bord de voie ferrée,72.18,62075,D,"(48.738005999999984, 6.182283361008255)",Meurthe-et-Moselle,Grand Est,12.0,7.0,136.0,8070,124150,310,28,228,51349
99,Voie Verte de Perpignan à Thuir,15.7,1.27,Bord de voie ferrée,105.67,90876,B,"(42.621595, 2.756597)",Pyrénées-Orientales,Occitanie,16.0,9.0,176.0,11814,181752,454,41,334,75173
100,"EV5 - Via Romea Francigena, de Guebwiller à Cernay / Véloroute du vignoble d'Alsace",15.9,1.26,Bord de route,77.71,66831,D,"(47.805267, 7.172035999999999)",Haut-Rhin,Grand Est,12.0,8.0,142.0,8688,133662,334,30,246,55283
